Samples,Extraction,Site,Colour,Negative,Positive,PCR,Kit,Reads,Threshold20,Threshold50,Threshold100,Threshold500,Percentage_trimmed,Bacterial_reads,Percentage_bacterial,Percentage_host_rem,Bacterial_threshold50K,Qubit
PEDI02963_Rand,7MAY,South_Africa,FALSE,FALSE,FALSE,TRUE,1,442788,TRUE,TRUE,TRUE,FALSE,2.65,440944,97.01,2.99,TRUE,0
Negative_0805,8MAY,Belgium,FALSE,TRUE,FALSE,FALSE,1,14672,FALSE,FALSE,FALSE,FALSE,1.97,13681,95.56,4.44,FALSE,0
PEDI00213_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,FALSE,1,9514,FALSE,FALSE,FALSE,FALSE,5.48,8869,88.38,11.62,FALSE,0
PEDI00214_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,FALSE,1,36719,TRUE,FALSE,FALSE,FALSE,3.55,36020,94.74,5.26,FALSE,0
PEDI00216_Rand,8MAY,South_Africa,TRUE,FALSE,FALSE,TRUE,1,68721,TRUE,TRUE,FALSE,FALSE,3.09,67999,95.99,4.01,TRUE,0.791
PEDI00217_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,TRUE,1,38173,TRUE,FALSE,FALSE,FALSE,3.6,37017,93.6,6.4,FALSE,0
PEDI00218_Rand,8MAY,South_Africa,TRUE,FALSE,FALSE,TRUE,1,35349376,TRUE,TRUE,TRUE,TRUE,4.28,35346560,95.88,4.12,TRUE,19
PEDI00221_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,TRUE,1,20543,TRUE,FALSE,FALSE,FALSE,4.03,20332,95.14,4.86,FALSE,0
PEDI00238_Rand,8MAY,South_Africa,TRUE,FALSE,FALSE,TRUE,1,139817,TRUE,TRUE,TRUE,FALSE,2.99,65560,45.53,54.47,TRUE,0
PEDI00243_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,TRUE,1,126847,TRUE,TRUE,TRUE,FALSE,2.57,64733,49.76,50.24,TRUE,0
PEDI00244_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,FALSE,1,22105,TRUE,FALSE,FALSE,FALSE,3.38,19028,83.27,16.73,FALSE,0
PEDI00245_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,TRUE,1,145323,TRUE,TRUE,TRUE,FALSE,2.24,142954,96.22,3.78,TRUE,0
PEDI00246_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,TRUE,1,660055,TRUE,TRUE,TRUE,TRUE,2.57,659578,97.42,2.58,TRUE,0
PEDI00247_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,TRUE,1,2777637,TRUE,TRUE,TRUE,TRUE,2.93,2776923,97.13,2.87,TRUE,0
PEDI00248_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,FALSE,1,16804,FALSE,FALSE,FALSE,FALSE,2.74,16209,93.88,6.12,FALSE,0
PEDI00252_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,TRUE,1,3015891,TRUE,TRUE,TRUE,TRUE,3.17,1015079,32.62,67.38,TRUE,0
PEDI00261_Rand,8MAY,South_Africa,TRUE,FALSE,FALSE,TRUE,1,94610202,TRUE,TRUE,TRUE,TRUE,3.73,94602498,96.4,3.6,TRUE,0
PEDI00264_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,FALSE,1,52864,TRUE,TRUE,FALSE,FALSE,3.64,52695,96.18,3.82,TRUE,0
PEDI02964_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,TRUE,1,11688,FALSE,FALSE,FALSE,FALSE,2.97,10085,83.8,16.2,FALSE,0
PEDI02966_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,TRUE,1,9338,FALSE,FALSE,FALSE,FALSE,3.33,8892,92.15,7.85,FALSE,0
PEDI02991_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,TRUE,1,377526,TRUE,TRUE,TRUE,FALSE,3.28,376709,96.61,3.39,TRUE,0
PEDI02994_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,FALSE,1,25676,TRUE,FALSE,FALSE,FALSE,3.66,25208,94.71,5.29,FALSE,0
PEDI02995_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,FALSE,1,267584,TRUE,TRUE,TRUE,FALSE,3.63,267080,96.31,3.69,TRUE,0
PEDI03000_Rand,8MAY,South_Africa,FALSE,FALSE,FALSE,FALSE,1,10004,FALSE,FALSE,FALSE,FALSE,3.49,8751,84.53,15.47,FALSE,0
